,title,guid,specialization,city,companyName,totalCompensation,totalCompensationNumber,totalCompensationDetails,baseSalary,baseSalaryNumber,oldYearForData,otherContext
1008,Medior Software Developer,nnl0k2lr2f8n0bpl2mc2e,,Amsterdam,🔒 Events company,"€50,000",50000,€50K salary,"€4,167/month",50000,2022,
1009,Software Engineer,x3l0at5gm27pe8wm0szae,,Hybrid option,Wolters Kluwer,"€48,600",48600,"€45K salary, €4K bonus, €2K benefits","€3,750/month",45000,2022,
1010,Software Engineer,sfl3y1yt3a3w0fbzvp7jr,,Hybrid option,🔒 Digital transformation company,"€45,600",45600,"€41K salary, €4K bonus","€3,456/month",41500,2022,
1011,Project Manager,vikzepquue6h8gvvu4o6j,,,Henkel,"€45,000",45000,€45K salary,"€3,750/month",45000,2022,
1012,UX Designer,eul2w925g60oylz0vllu4d,,Dokkum (flexible days),Exact,"€36,000",36000,€36K salary,"€3,000/month",36000,2019,
1013,Software Developer Engineer Intern,9ul3pvn14cl9m2p9yib7,,Amsterdam (hybrid option),Amazon,"€44,400",44400,"€44K salary, €1K relocation","€3,700/month",44400,2022,
1014,Jr. DevOps Engineer,3dkyq1y8v1psaj4plm27,,Haarlem,🔒 Digital Agency,"€32,600",32600,"€30K salary, €2K bonus","€2,515/month",30200,2020,
1015,Consultant,j2kwvpzqhvf9khxjtzlx9,,Hoogeveen,🔒 Development agency,"€43,500",43500,"€43K salary, €0K bonus","€3,600/month",43200,2021,
1016,Senior Engineer,dcl0uvjj34ow2z616bmgk,,Hybrid option,🔒 AI industry,"€123,000",123000,"€100K salary, €5K bonus, €18K equity/year, €0K benefits","€8,333/month",100000,2022,
1017,Enterprise Portfolio Management and Architecture,8il2x264l7z3pejo0lsae,,Rotterdam (flexible days),🔒 Local Dutch company,"€118,000",118000,"€109K salary, €9K bonus","€9,072/month",109000,2020,
1018,Backend developer,xul66gf8j4sv380tny6n,,Utrecht,Local company,"€28,500",28500,"€27K salary, €2K bonus","€2,250/month",27000,2022,
1019,🔒 Senior-level position within software engineering,ugl3ezndk5qmpa7uk3rvp,,Utrecht (hybrid option),Capgemini,"€54,000",54000,"€52K salary, €2K bonus, €0K equity/year, €11K benefits","€4,320/month",52000,2022,
1020,Senior Software Engineer,qcl2wbiw9j38xon28abve,,Amersfoort (flexible days),Trivento,"€65,500",65500,€66K salary,"€5,471/month",65500,2022,
1021,Backend developer,jel66g82xotcuu5627adn,,Utrecht,🔒 Local company,"€28,800",28800,"€27K salary, €2K bonus","€2,250/month",27000,2022,
1022,Junior Developer,c8l2qj8yg37v9kanaq89v,,,Coolblue,"€37,600",37600,€38K salary,"€3,132/month",37600,2022,
1023,🔒 Entry-level position within software engineering,cjl738sifanthm5hbbe7r,,Hybrid option,Bunq,"€48,000",48000,€48K salary,"€4,000/month",48000,2022,
1024,Software Engineer,akkwv8188rhkror3fnqyk,,Utrecht,Rabobank,"€52,500",52500,"€48K salary, €4K bonus","€4,000/month",48000,2021,
1025,🔒 Senior-level position within software engineering,ubkwwonuhz5l458il79gm,,Amsterdam,Flow Traders,"€90,000",90000,"€60K salary, €30K bonus, €2K relocation","€5,000/month",60000,2021,
1026,Data Engineer,bdl0c2wwi9k65o024x4y,,Rotterdam,🔒 E-commerce industry,"€65,000",65000,€65K salary,"€5,417/month",65000,2022,
1027,Senior Software Engineer,e9l0kq56iurg3iaw1ywol,,Amsterdam,PVH,"€75,000",75000,€75K salary,"€6,250/month",75000,2021,
1028,Senior Software Engineer,gtl80826k5fookd6ah0o6,,Hybrid option,Rabobank,"€80,000",80000,€80K salary,"€6,667/month",80000,2022,
1029,Senior Android Developer,z0kx65dy53xzlaw4i1pti,,Utrecht,Bol.com,"€85,500",85500,"€78K salary, €8K bonus, €5K relocation","€6,480/month",78000,2021,
1030,🔒 Senior-level position within design,frl140z8zqtt285oh2jb,,Amsterdam,IKEA,"€104,000",104000,"€96K salary, €8K bonus","€8,000/month",96000,2022,
