,Company,Level,Years of Experience,City,Total Compensation,Salary,netherlands
211,Wolters Kluwer,T4,7  yrs,"Alphen Aan Den Rijn, ZH, Netherlands ","7,3 χιλ. | N/A | 750",7.3,netherlands
212,Booking.com,E,0  yrs,"Amsterdam, NH, Netherlands ","5,2 χιλ. | N/A | N/A",5.2,netherlands
213,JW Player,Senior,12  yrs,"Eindhoven, NB, Netherlands ",7 χιλ. | N/A | N/A,7,netherlands
214,ING,Software Engineer 2,6  yrs,"Amsterdam, NH, Netherlands ","5,8 χιλ. | N/A | N/A",5.8,netherlands
215,Funda,Senior Engineer,5  yrs,"Amsterdam, NH, Netherlands ","7,5 χιλ. | N/A | 750",7.5,netherlands
216,Nebius,G17,17  yrs,"Amsterdam, NH, Netherlands ","11,7 χιλ. | 1,1 χιλ. | 2,9 χιλ.",11.7,netherlands
217,Trip.com,Senior Engineer,12  yrs,"Amsterdam, NH, Netherlands ","8 χιλ. | N/A | 583,3",8,netherlands
218,IKEA,JuniorSoftware Engineer,1  yr,"Amsterdam, NH, Netherlands ","4,8 χιλ. | N/A | N/A",4.8,netherlands
219,MessageBird,Senior Software Engineer,12  yrs,"Amsterdam, NH, Netherlands ","9,6 χιλ. | N/A | N/A",9.6,netherlands
220,Shell,Contractor,15  yrs,"Amsterdam, NH, Netherlands ","15,6 χιλ. | N/A | N/A",15.6,netherlands
221,Mendix,Senior Software Engineer,10  yrs,"Rotterdam, ZH, Netherlands ","6,8 χιλ. | N/A | N/A",6.8,netherlands
222,PVH,Senior,5  yrs,"Amsterdam, NH, Netherlands ","6,3 χιλ. | N/A | 583,3",6.3,netherlands
223,Miro,Staff SWE,15  yrs,"Amsterdam, NH, Netherlands ",11 χιλ. | N/A | N/A,11,netherlands
224,Booking.com,F,8  yrs,"Amsterdam, NH, Netherlands ","8,3 χιλ. | 1,5 χιλ. | 1,2 χιλ.",8.3,netherlands
225,ING,Software Engineer 3,15  yrs,"Amsterdam, NH, Netherlands ","8,1 χιλ. | N/A | N/A",8.1,netherlands
226,Plus,Senior,7  yrs,"Utrecht, UT, Netherlands ","7,1 χιλ. | N/A | N/A",7.1,netherlands
227,Lunatech,Senior,5  yrs,"Rotterdam, ZH, Netherlands ","6,1 χιλ. | N/A | N/A",6.1,netherlands
228,DPG Media,2,9  yrs,"Amsterdam, NH, Netherlands ","7,2 χιλ. | N/A | 125",7.2,netherlands
229,Fastned,Senior,7  yrs,"Amsterdam, NH, Netherlands ","7,5 χιλ. | N/A | N/A",7.5,netherlands
230,Uber,Software Engineer II,6  yrs,"Amsterdam, NH, Netherlands ","8,9 χιλ. | 3,3 χιλ. | 1,2 χιλ.",8.9,netherlands
231,Adyen,Staff Software Engineer,22  yrs,"Amsterdam, NH, Netherlands ","10,6 χιλ. | 1,1 χιλ. | 1,8 χιλ.",10.6,netherlands
232,Informatica,L3,9  yrs,"Amsterdam, NH, Netherlands ","8,3 χιλ. | 250 | N/A",8.3,netherlands
233,Picnic,2,2  yrs,"Amsterdam, NH, Netherlands ","4,9 χιλ. | N/A | N/A",4.9,netherlands
234,Picnic,L3,4  yrs,"Amsterdam, NH, Netherlands ","6,2 χιλ. | N/A | N/A",6.2,netherlands
235,Uber,Senior Software Engineer,6  yrs,"Amsterdam, NH, Netherlands ","10,8 χιλ. | 4,5 χιλ. | 2,1 χιλ.",10.8,netherlands
236,Booking.com,G,12  yrs,"Amsterdam, NH, Netherlands ","10,8 χιλ. | 3,8 χιλ. | 2,7 χιλ.",10.8,netherlands
237,Fashion Cloud,-,7  yrs,"Amsterdam, NH, Netherlands ","5,4 χιλ. | N/A | N/A",5.4,netherlands
238,Booking.com,F,8  yrs,"Amsterdam, NH, Netherlands ","8,4 χιλ. | 2,9 χιλ. | 1,8 χιλ.",8.4,netherlands
239,Picnic,L4,10  yrs,"Amsterdam, NH, Netherlands ","8,8 χιλ. | N/A | N/A",8.8,netherlands
240,Ahold Delhaize,T6,14  yrs,"Utrecht, UT, Netherlands ","7,6 χιλ. | N/A | 666,7",7.6,netherlands
241,Van Boxsel Engine...,Senior,10  yrs,"Oosterhout, NB, Netherlands ","3,8 χιλ. | N/A | N/A",3.8,netherlands
242,Grafana,L4,10  yrs,"The Hague, ZH, Netherlands ","8,1 χιλ. | N/A | N/A",8.1,netherlands
243,ING,Software Engineer 2,5  yrs,"Amsterdam, NH, Netherlands ","5,8 χιλ. | N/A | N/A",5.8,netherlands
244,Siemens,T7,4  yrs,"Eindhoven, NB, Netherlands ","5,8 χιλ. | N/A | 175",5.8,netherlands
245,Da Vinci Derivatives,Entry,0  yrs,"Amsterdam, NH, Netherlands ","6,7 χιλ. | N/A | 3 χιλ.",6.7,netherlands
246,Booking.com,F,6  yrs,"Amsterdam, NH, Netherlands ","8,3 χιλ. | 1,7 χιλ. | 1,2 χιλ.",8.3,netherlands
247,Polarsteps,hidden,5-10  yrs,"Amsterdam, NH, Netherlands ","6,3 χιλ. | N/A | N/A",6.3,netherlands
248,Swisscom,L3,4  yrs,"Rotterdam, ZH, Netherlands ","5,7 χιλ. | N/A | N/A",5.7,netherlands
249,Elastic,C6,15  yrs,"Amsterdam, NH, Netherlands ","9,7 χιλ. | 8,8 χιλ. | N/A",9.7,netherlands
250,Booking.com,F,6  yrs,"Amsterdam, NH, Netherlands ","8,7 χιλ. | 1,7 χιλ. | 1,2 χιλ.",8.7,netherlands
251,Tacx,L2,7  yrs,"Leiden, ZH, Netherlands ","5,4 χιλ. | N/A | N/A",5.4,netherlands
252,Intermodal Telema...,Junior,2  yrs,"Breda, NB, Netherlands ","3,8 χιλ. | N/A | N/A",3.8,netherlands
253,Rabobank,Senior,12  yrs,"Utrecht, UT, Netherlands ",6 χιλ. | N/A | N/A,6,netherlands
254,Personio,L5,12  yrs,"Amsterdam, NH, Netherlands ","9,9 χιλ. | 166,7 | N/A",9.9,netherlands
255,Pegasystems,Principal Software Engineer,20  yrs,"Amsterdam, NH, Netherlands ","9,6 χιλ. | 833,3 | 1,3 χιλ.",9.6,netherlands
256,TUE,-,0  yrs,"Eindhoven, NB, Netherlands ","3,5 χιλ. | N/A | N/A",3.5,netherlands
257,Booking.com,E,3  yrs,"Amsterdam, NH, Netherlands ","7,2 χιλ. | N/A | 716,7",7.2,netherlands
258,Booking.com,F,10  yrs,"Amsterdam, NH, Netherlands ","8,7 χιλ. | 1,7 χιλ. | 1,2 χιλ.",8.7,netherlands
259,Textkernel,-,8  yrs,"Amsterdam, NH, Netherlands ","6,7 χιλ. | N/A | 500",6.7,netherlands
260,Netlight,Analyst,1  yr,"Amsterdam, NH, Netherlands ","4,1 χιλ. | N/A | N/A",4.1,netherlands
261,EPAM Systems,L3,9  yrs,"Amsterdam, NH, Netherlands ","6,5 χιλ. | N/A | N/A",6.5,netherlands
262,Rabobank,L3,10  yrs,"Utrecht, UT, Netherlands ",10 χιλ. | N/A | N/A,10,netherlands
263,Amazon,SDE II,9  yrs,"Amsterdam, NH, Netherlands ","11,1 χιλ. | 666,7 | N/A",11.1,netherlands
264,Adyen,2,5-10  yrs,"Amsterdam, NH, Netherlands ","9,3 χιλ. | 1,5 χιλ. | 1 χιλ.",9.3,netherlands
265,AIMMS,hidden,11+  yrs,"Haarlem, NH, Netherlands ","7,2 χιλ. | N/A | N/A",7.2,netherlands
266,Ortec Finance,hidden,5-10  yrs,"Rotterdam, ZH, Netherlands ","5,3 χιλ. | N/A | 583,3",5.3,netherlands
267,ASML,L6,7  yrs,"Eindhoven, NB, Netherlands ","6,2 χιλ. | N/A | N/A",6.2,netherlands
268,Fourthline,Senior,10  yrs,"Amsterdam, NH, Netherlands ","5,8 χιλ. | 833,3 | N/A",5.8,netherlands
269,ABN AMRO,hidden,2-4  yrs,"Amsterdam, NH, Netherlands ",6 χιλ. | N/A | 125,6,netherlands
270,WAES,Senior,5-10  yrs,"Utrecht, UT, Netherlands ","5,3 χιλ. | N/A | 2,1 χιλ.",5.3,netherlands
271,Ahold Delhaize,T5,8  yrs,"Utrecht, UT, Netherlands ","6,9 χιλ. | N/A | 246,2",6.9,netherlands
272,Backbase,Distinguished,20  yrs,"Amsterdam, NH, Netherlands ","8,6 χιλ. | N/A | 125",8.6,netherlands
273,Miro,Senior SWE,10  yrs,"Amsterdam, NH, Netherlands ","9,6 χιλ. | 2,5 χιλ. | N/A",9.6,netherlands
274,Booking.com,G,9  yrs,"Amsterdam, NH, Netherlands ","10,4 χιλ. | 3,3 χιλ. | 1,8 χιλ.",10.4,netherlands
275,Tacx,L2,7  yrs,"Leiden, ZH, Netherlands ","5,3 χιλ. | N/A | N/A",5.3,netherlands
276,Trengo,L4,16  yrs,"Utrecht, UT, Netherlands ","7,6 χιλ. | N/A | N/A",7.6,netherlands
277,Fastned,hidden,2-4  yrs,"Amsterdam, NH, Netherlands ","6,2 χιλ. | N/A | N/A",6.2,netherlands
278,Databricks,L5,10  yrs,"Amsterdam, NH, Netherlands ","9 χιλ. | 10,4 χιλ. | 2,1 χιλ.",9,netherlands
279,Thales,LR6,4  yrs,"Hengelo, OV, Netherlands ","4,1 χιλ. | 83,3 | 333,3",4.1,netherlands
280,Booking.com,G,10  yrs,"Amsterdam, NH, Netherlands ","10,8 χιλ. | 2,9 χιλ. | 2,1 χιλ.",10.8,netherlands
281,Miro,Senior SWE,6  yrs,"Amsterdam, NH, Netherlands ","9,2 χιλ. | N/A | N/A",9.2,netherlands
282,Booking.com,F,4  yrs,"Amsterdam, NH, Netherlands ","7,5 χιλ. | N/A | N/A",7.5,netherlands
283,NAVARA,Medior,3  yrs,"Zeist, UT, Netherlands ","4,2 χιλ. | N/A | N/A",4.2,netherlands
284,Lomans,Junior,4  yrs,"Amersfoort, UT, Netherlands ",3 χιλ. | N/A | N/A,3,netherlands
285,Rabobank,L3,6  yrs,"Utrecht, UT, Netherlands ","7,5 χιλ. | N/A | N/A",7.5,netherlands
286,EPAM Systems,L4,12  yrs,"Amsterdam, NH, Netherlands ","6,8 χιλ. | 416,7 | 500",6.8,netherlands
287,N/A,hidden,5-10  yrs,"Deventer, OV, Netherlands ","3,2 χιλ. | N/A | 50",3.2,netherlands
288,Morphotonics B.V.,P2,3  yrs,"Eindhoven, NB, Netherlands ","4,2 χιλ. | N/A | N/A",4.2,netherlands
289,Picnic,L4,10  yrs,"Amsterdam, NH, Netherlands ",8 χιλ. | N/A | N/A,8,netherlands
290,TomTom,Software Engineer I,1  yr,"Amsterdam, NH, Netherlands ","5,3 χιλ. | N/A | N/A",5.3,netherlands
291,FUGA,Senior,5-10  yrs,"Amsterdam, NH, Netherlands ","7,2 χιλ. | N/A | N/A",7.2,netherlands
292,Bynder,L4,8  yrs,"Rotterdam, ZH, Netherlands ","5,7 χιλ. | N/A | N/A",5.7,netherlands
293,Profoto,hidden,5-10  yrs,"Hoofddorp, NH, Netherlands ","6,9 χιλ. | N/A | N/A",6.9,netherlands
294,FUGA,Tech Lead,13  yrs,"Amsterdam, NH, Netherlands ","7,5 χιλ. | N/A | 166,7",7.5,netherlands
295,Booking.com,G,12  yrs,"Amsterdam, NH, Netherlands ","10,6 χιλ. | 3,4 χιλ. | 3,2 χιλ.",10.6,netherlands
296,Eneco,E10,12  yrs,"Rotterdam, ZH, Netherlands ","8,3 χιλ. | N/A | N/A",8.3,netherlands
297,Flow Traders,L5,12  yrs,"Amsterdam, NH, Netherlands ","10,8 χιλ. | N/A | 5 χιλ.",10.8,netherlands
298,Backbase,P3,8  yrs,"Amsterdam, NH, Netherlands ","6,1 χιλ. | N/A | 100",6.1,netherlands
299,Adyen,Senior,15  yrs,"Amsterdam, NH, Netherlands ","10 χιλ. | 1,7 χιλ. | N/A",10,netherlands
300,IKEA,Medior,6  yrs,"Amsterdam, NH, Netherlands ","7,2 χιλ. | N/A | N/A",7.2,netherlands
301,Vrije Universitei...,L1,6  yrs,"Amsterdam, NH, Netherlands ","4,8 χιλ. | N/A | N/A",4.8,netherlands
302,REKKI,Staff Engineer,15  yrs,"Amsterdam, NH, Netherlands ","10,8 χιλ. | N/A | N/A",10.8,netherlands
303,IMC,L3,10  yrs,"Amsterdam, NH, Netherlands ","9,7 χιλ. | N/A | 4,2 χιλ.",9.7,netherlands
304,MessageBird,L2,8  yrs,"Amsterdam, NH, Netherlands ","9,2 χιλ. | N/A | N/A",9.2,netherlands
305,Google,L5,16  yrs,"Amsterdam, NH, Netherlands ","9,2 χιλ. | 2,9 χιλ. | N/A",9.2,netherlands
306,Picnic,L4,6  yrs,"Amsterdam, NH, Netherlands ","6,5 χιλ. | N/A | N/A",6.5,netherlands
307,Booking.com,E,2  yrs,"Amsterdam, NH, Netherlands ",7 χιλ. | N/A | 700,7,netherlands
308,Profoto,Senior,5-10  yrs,"Hoofddorp, NH, Netherlands ","6,9 χιλ. | N/A | N/A",6.9,netherlands
309,Booking.com,F,4  yrs,"Amsterdam, NH, Netherlands ","7,4 χιλ. | N/A | N/A",7.4,netherlands
310,CM.com,Senior,6  yrs,"Breda, NB, Netherlands ","5,1 χιλ. | N/A | N/A",5.1,netherlands
311,TrustWallet,Senior,7  yrs,"Amsterdam, NH, Netherlands ","12,1 χιλ. | 3,3 χιλ. | 5 χιλ.",12.1,netherlands
312,Optiver,L3,1  yr,"Amsterdam, NH, Netherlands ","10 χιλ. | N/A | 4,5 χιλ.",10,netherlands
313,Booking.com,F,6  yrs,"Amsterdam, NH, Netherlands ","8,3 χιλ. | 1,5 χιλ. | N/A",8.3,netherlands
314,Flow Traders,L4,6  yrs,"Amsterdam, NH, Netherlands ","8,7 χιλ. | N/A | 4,2 χιλ.",8.7,netherlands
315,Catawiki,Senior Software Engineer,8  yrs,"Amsterdam, NH, Netherlands ","6,7 χιλ. | N/A | N/A",6.7,netherlands
316,JetBrains,L3,9  yrs,"Amsterdam, NH, Netherlands ","9,6 χιλ. | N/A | 833,3",9.6,netherlands
317,Swisscom,2,2  yrs,"Amsterdam, NH, Netherlands ","5,7 χιλ. | N/A | N/A",5.7,netherlands
318,Booking.com,F,6  yrs,"Amsterdam, NH, Netherlands ","8,8 χιλ. | 1,7 χιλ. | 1,3 χιλ.",8.8,netherlands
319,Databricks,L4,8  yrs,"Amsterdam, NH, Netherlands ","9 χιλ. | 11,7 χιλ. | 1 χιλ.",9,netherlands
320,Booking.com,L3,7  yrs,"Amsterdam, NH, Netherlands ","9,3 χιλ. | 1,7 χιλ. | 1,3 χιλ.",9.3,netherlands
321,CGI,Student Employee(L1),1  yr,"Groningen, GR, Netherlands ","2,7 χιλ. | 83,3 | N/A",2.7,netherlands
322,Coolblue,L1,0-1  yrs,"Rotterdam, ZH, Netherlands ",4 χιλ. | N/A | N/A,4,netherlands
323,Booking.com,Senior Software Engineer II,12  yrs,"Amsterdam, NH, Netherlands ","11,3 χιλ. | 3,3 χιλ. | 2,3 χιλ.",11.3,netherlands
324,ABN AMRO,L3,7  yrs,"Amsterdam, NH, Netherlands ","6,8 χιλ. | N/A | N/A",6.8,netherlands
325,Uber,Staff Software Engineer,11  yrs,"Amsterdam, NH, Netherlands ","12,2 χιλ. | 15,3 χιλ. | 2,5 χιλ.",12.2,netherlands
326,IKEA,Senior Software Engineer,12  yrs,"Amsterdam, NH, Netherlands ","7,9 χιλ. | N/A | 166,7",7.9,netherlands
327,Adyen,Software Engineer II,5  yrs,"Amsterdam, NH, Netherlands ","9,4 χιλ. | 750 | N/A",9.4,netherlands
328,Booking.com,F,17  yrs,"Amsterdam, NH, Netherlands ","9,7 χιλ. | 1,7 χιλ. | 1,5 χιλ.",9.7,netherlands
329,Ahold Delhaize,L4,6  yrs,"Utrecht, UT, Netherlands ","6,1 χιλ. | N/A | 691,7",6.1,netherlands
330,Miro,Senior SWE,7  yrs,"Amsterdam, NH, Netherlands ","9,8 χιλ. | 3,3 χιλ. | N/A",9.8,netherlands
331,Swisscom,L3,4  yrs,"Amsterdam, NH, Netherlands ","5,2 χιλ. | N/A | N/A",5.2,netherlands
332,Picnic,L4,12  yrs,"Amsterdam, NH, Netherlands ",9 χιλ. | N/A | N/A,9,netherlands
333,Axelera AI,Senior,7  yrs,"Eindhoven, NB, Netherlands ","10,4 χιλ. | 1,7 χιλ. | N/A",10.4,netherlands
334,Booking.com,F,9  yrs,"Amsterdam, NH, Netherlands ","8,5 χιλ. | 1,5 χιλ. | 1,2 χιλ.",8.5,netherlands
335,Picnic,L4,7  yrs,"Amsterdam, NH, Netherlands ","9,6 χιλ. | N/A | N/A",9.6,netherlands
336,Picnic,L3,5  yrs,"Amsterdam, NH, Netherlands ","6,7 χιλ. | N/A | N/A",6.7,netherlands
337,Uber,Staff Software Engineer,15  yrs,"Amsterdam, NH, Netherlands ","11 χιλ. | 16 χιλ. | 2,2 χιλ.",11,netherlands
338,IKEA,Software Engineer,15  yrs,"Amsterdam, NH, Netherlands ","6,7 χιλ. | N/A | N/A",6.7,netherlands
339,Kaartje2go,Senior,9  yrs,"Zwolle, OV, Netherlands ","4,6 χιλ. | N/A | N/A",4.6,netherlands
340,Bitvavo,Softeware engineer II,7  yrs,"Amsterdam, NH, Netherlands ","7,5 χιλ. | N/A | N/A",7.5,netherlands
341,Grafana,Staff Software Engineer,12  yrs,"Amsterdam, NH, Netherlands ","10,8 χιλ. | N/A | N/A",10.8,netherlands
342,Amazon,SDE I,2  yrs,"Amsterdam, NH, Netherlands ","7 χιλ. | 5,1 χιλ. | N/A",7,netherlands
343,Uber,Senior Software Engineer,12  yrs,"Amsterdam, NH, Netherlands ","9,6 χιλ. | 4,2 χιλ. | 2,1 χιλ.",9.6,netherlands
344,Infosys,JL6A,12  yrs,"Amsterdam, NH, Netherlands ","8,4 χιλ. | N/A | N/A",8.4,netherlands
345,WeTransfer,Senior,8  yrs,"Amsterdam, NH, Netherlands ","7,9 χιλ. | N/A | N/A",7.9,netherlands
346,LeasePlan,Senior,15  yrs,"Amsterdam, NH, Netherlands ","8,6 χιλ. | N/A | N/A",8.6,netherlands
347,Booking.com,F,10  yrs,"Amsterdam, NH, Netherlands ","8,3 χιλ. | 1,7 χιλ. | N/A",8.3,netherlands
348,EPAM Systems,L3,8  yrs,"Amsterdam, NH, Netherlands ","6,2 χιλ. | N/A | N/A",6.2,netherlands
349,Infor,Senior Software Engineer,5  yrs,"Barneveld, GE, Netherlands ","6,6 χιλ. | N/A | N/A",6.6,netherlands
350,ASML,L4,6  yrs,"Veldhoven, NB, Netherlands ","7 χιλ. | N/A | 1,2 χιλ.",7,netherlands
351,Booking.com,F,6  yrs,"Amsterdam, NH, Netherlands ",6 χιλ. | N/A | N/A,6,netherlands
352,Booking.com,E,3  yrs,"Amsterdam, NH, Netherlands ","6,6 χιλ. | N/A | 656,1",6.6,netherlands
353,Picnic,L3,7  yrs,"Amsterdam, NH, Netherlands ",6 χιλ. | N/A | N/A,6,netherlands
354,CGI,Software Engineer,4  yrs,"Rotterdam, ZH, Netherlands ","3,5 χιλ. | N/A | N/A",3.5,netherlands
355,Miro,Senior SWE,10  yrs,"Amsterdam, NH, Netherlands ","9,6 χιλ. | N/A | N/A",9.6,netherlands
356,Nebius,G17,19  yrs,"Amsterdam, NH, Netherlands ","9 χιλ. | 1,7 χιλ. | 1,5 χιλ.",9,netherlands
357,Worldline,Junior,3  yrs,"Hoofddorp, NH, Netherlands ","4,8 χιλ. | N/A | 250",4.8,netherlands
358,Maersk,JL4,10  yrs,"The Hague, ZH, Netherlands ","8,1 χιλ. | N/A | 833,3",8.1,netherlands
359,Booking.com,F,20  yrs,"Amsterdam, NH, Netherlands ","8,1 χιλ. | 1,7 χιλ. | 1,3 χιλ.",8.1,netherlands
360,Backbase,Principal,8  yrs,"Amsterdam, NH, Netherlands ","7,3 χιλ. | N/A | 250",7.3,netherlands
361,Demcon,L4,6  yrs,"Delft, ZH, Netherlands ","4,6 χιλ. | N/A | N/A",4.6,netherlands
362,Facebook,E6,12  yrs,"Amsterdam, NH, Netherlands ","14,2 χιλ. | 20,8 χιλ. | N/A",14.2,netherlands
363,Apple,ICT4,3  yrs,"Amsterdam, NH, Netherlands ","8,6 χιλ. | 13 χιλ. | 500",8.6,netherlands
364,Media.Monks,Senior AEM Developer,5  yrs,"Amsterdam, NH, Netherlands ",5 χιλ. | N/A | N/A,5,netherlands
365,IMC,L3,7  yrs,"Amsterdam, NH, Netherlands ","10,2 χιλ. | N/A | 4,8 χιλ.",10.2,netherlands
366,Picnic,L2,2  yrs,"Amsterdam, NH, Netherlands ","4,7 χιλ. | N/A | N/A",4.7,netherlands
367,Picnic,L4,5  yrs,"Amsterdam, NH, Netherlands ","7,5 χιλ. | N/A | N/A",7.5,netherlands
368,Picnic,L2,3  yrs,"Amsterdam, NH, Netherlands ","5,2 χιλ. | N/A | N/A",5.2,netherlands
369,Picnic,L3,3  yrs,"Amsterdam, NH, Netherlands ","6,3 χιλ. | N/A | N/A",6.3,netherlands
370,Picnic,L2,2  yrs,"Amsterdam, NH, Netherlands ","5,2 χιλ. | N/A | N/A",5.2,netherlands
371,Picnic,L3,5  yrs,"Amsterdam, NH, Netherlands ","5,3 χιλ. | N/A | N/A",5.3,netherlands
372,Picnic,L4,7  yrs,"Amsterdam, NH, Netherlands ","7,7 χιλ. | N/A | N/A",7.7,netherlands
373,Picnic,L2,4  yrs,"Amsterdam, NH, Netherlands ",5 χιλ. | N/A | N/A,5,netherlands
374,Picnic,L3,8  yrs,"Amsterdam, NH, Netherlands ","6,7 χιλ. | N/A | N/A",6.7,netherlands
375,Picnic,L2,1  yr,"Amsterdam, NH, Netherlands ","5,1 χιλ. | N/A | N/A",5.1,netherlands
376,Picnic,2B,2  yrs,"Amsterdam, NH, Netherlands ","4,9 χιλ. | N/A | N/A",4.9,netherlands
377,Picnic,4,8  yrs,"Amsterdam, NH, Netherlands ","7,8 χιλ. | N/A | N/A",7.8,netherlands
378,Cadmatic,-,5  yrs,"Groningen, GR, Netherlands ","4,2 χιλ. | N/A | 1 χιλ.",4.2,netherlands
379,Backbase,Senior,10  yrs,"Amsterdam, NH, Netherlands ","6,7 χιλ. | N/A | N/A",6.7,netherlands
380,N/A,hidden,2-4  yrs,"Amsterdam, NH, Netherlands ","12,5 χιλ. | N/A | N/A",12.5,netherlands
381,Databricks,L3,1  yr,"Amsterdam, NH, Netherlands ","6,3 χιλ. | 3,3 χιλ. | 633,3",6.3,netherlands
382,IMC,L5,11+  yrs,"Amsterdam, NH, Netherlands ","10,4 χιλ. | N/A | 33,3 χιλ.",10.4,netherlands
383,ABB,Software Engineer,8  yrs,"Delft, ZH, Netherlands ","6,3 χιλ. | N/A | N/A",6.3,netherlands
384,TMNL,L4,10  yrs,"Amsterdam, NH, Netherlands ","9,2 χιλ. | N/A | N/A",9.2,netherlands
385,Just Eat,L54,8  yrs,"Enschede, OV, Netherlands ","6,4 χιλ. | 416,7 | N/A",6.4,netherlands
386,N/A,hidden,5-10  yrs,"Amsterdam, NH, Netherlands ","5,2 χιλ. | N/A | N/A",5.2,netherlands
387,University of Ams...,L3,4  yrs,"Amsterdam, NH, Netherlands ",3 χιλ. | N/A | N/A,3,netherlands
388,N/A,hidden,11+  yrs,"Amsterdam, NH, Netherlands ","7,1 χιλ. | N/A | N/A",7.1,netherlands
389,ASML,L7,8  yrs,"Eindhoven, NB, Netherlands ","6,7 χιλ. | N/A | 1,2 χιλ.",6.7,netherlands
390,ASML,hidden,2-4  yrs,"Veldhoven, NB, Netherlands ","4,6 χιλ. | N/A | N/A",4.6,netherlands
391,N/A,hidden,5-10  yrs,"Eindhoven, NB, Netherlands ","3,9 χιλ. | N/A | N/A",3.9,netherlands
392,ING,Software Engineer 4,11  yrs,"Amsterdam, NH, Netherlands ","7,9 χιλ. | N/A | N/A",7.9,netherlands
393,European Dynamics,L2,4  yrs,"Amsterdam, NH, Netherlands ","5,8 χιλ. | 416,7 | N/A",5.8,netherlands
394,Secura,Senior,9  yrs,"Amsterdam, NH, Netherlands ",5 χιλ. | N/A | N/A,5,netherlands
395,Lunatech,Senior,5-10  yrs,"Rotterdam, ZH, Netherlands ","6,4 χιλ. | N/A | N/A",6.4,netherlands
396,Juniper Networks,Distinguished Engineer 1,17  yrs,"Amsterdam, NH, Netherlands ","10,4 χιλ. | 833,3 | 2,6 χιλ.",10.4,netherlands
397,Deloitte,L1,0  yrs,"Amsterdam, NH, Netherlands ",3 χιλ. | N/A | N/A,3,netherlands
398,HackerOne,L4,7  yrs,"Amsterdam, NH, Netherlands ","7,5 χιλ. | N/A | N/A",7.5,netherlands
399,Booking.com,F,8  yrs,"Amsterdam, NH, Netherlands ","8,9 χιλ. | 1,5 χιλ. | 1,3 χιλ.",8.9,netherlands
400,Centillien,L3,1  yr,"Eindhoven, NB, Netherlands ","4,2 χιλ. | N/A | N/A",4.2,netherlands
401,Trip.com,Principal,13  yrs,"Amsterdam, NH, Netherlands ","7,7 χιλ. | N/A | N/A",7.7,netherlands
402,Sytac,L3,10  yrs,"Amsterdam, NH, Netherlands ","6,8 χιλ. | N/A | N/A",6.8,netherlands
403,LyondellBasell,5,11  yrs,"Rotterdam, ZH, Netherlands ","8,3 χιλ. | N/A | N/A",8.3,netherlands
404,ING,Software Engineer 4,7  yrs,"Amsterdam, NH, Netherlands ","7,1 χιλ. | N/A | N/A",7.1,netherlands
405,Uber,Software Engineer II,3  yrs,"Amsterdam, NH, Netherlands ","8,5 χιλ. | 3,3 χιλ. | 1,3 χιλ.",8.5,netherlands
406,Booking.com,G,20  yrs,"Amsterdam, NH, Netherlands ","10 χιλ. | 5 χιλ. | 3,3 χιλ.",10,netherlands
407,WEB,L2,6  yrs,"Eindhoven, NB, Netherlands ","4,3 χιλ. | N/A | N/A",4.3,netherlands
408,Creative Fabrica,Senior,11+  yrs,"Amsterdam, NH, Netherlands ","11,2 χιλ. | N/A | N/A",11.2,netherlands
409,Booking.com,G,9  yrs,"Amsterdam, NH, Netherlands ","9,2 χιλ. | 3,3 χιλ. | N/A",9.2,netherlands
410,Picnic,L2,4  yrs,"Amsterdam, NH, Netherlands ",5 χιλ. | N/A | N/A,5,netherlands
411,Adevinta,12,8  yrs,"Amsterdam, NH, Netherlands ","6,6 χιλ. | N/A | 958,3",6.6,netherlands
412,NN Group,Senior,5  yrs,"Amsterdam, NH, Netherlands ","8 χιλ. | N/A | 916,7",8,netherlands
413,Robin Radar Systems,Student Worker,3  yrs,"The Hague, ZH, Netherlands ","4,2 χιλ. | N/A | N/A",4.2,netherlands
414,IKEA,Senior Software Engineer,10  yrs,"Amsterdam, NH, Netherlands ","7,9 χιλ. | N/A | N/A",7.9,netherlands
415,LPS,2,8  yrs,"Amsterdam, NH, Netherlands ","5,7 χιλ. | N/A | N/A",5.7,netherlands
416,Booking.com,E,0  yrs,"Amsterdam, NH, Netherlands ","5,1 χιλ. | N/A | N/A",5.1,netherlands
417,Booking.com,G,8  yrs,"Amsterdam, NH, Netherlands ","9,9 χιλ. | 3,3 χιλ. | 2,1 χιλ.",9.9,netherlands
418,Databricks,L4,6  yrs,"Amsterdam, NH, Netherlands ","7,5 χιλ. | 13,8 χιλ. | 1 χιλ.",7.5,netherlands
419,Eonics,Senior,6  yrs,"The Hague, ZH, Netherlands ","3,3 χιλ. | N/A | 5 χιλ.",3.3,netherlands
420,TomTom,Software Engineer I,1  yr,"Amsterdam, NH, Netherlands ","5,2 χιλ. | N/A | N/A",5.2,netherlands
421,Uber,Staff Software Engineer,12  yrs,"Amsterdam, NH, Netherlands ","12,1 χιλ. | 10 χιλ. | 2,5 χιλ.",12.1,netherlands
422,Capgemini,B2,9  yrs,"Utrecht, UT, Netherlands ",5 χιλ. | N/A | N/A,5,netherlands
423,Microsoft,62,2  yrs,"Amsterdam, NH, Netherlands ","7,5 χιλ. | 4,2 χιλ. | 833,3",7.5,netherlands
